Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,address
x Chauncy Street Condominium,Downtown,2111.0,33,0,33,29.0,0.0,29.0,4,0,4.0,Ownership,Private,,,"115 Chauncy St #1740, Boston, MA 02111, United States"
x Chelsea St (1-4 Program),East Boston,2128.0,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"1 Chelsea St, Charlestown, MA 02129, USA"
x Chelsea St (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"319 Chelsea St, Boston, MA 02128, United States"
x Chelsea Street E. Boston - COB,East Boston,2128.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"319 Chelsea St, Boston, MA 02128, United States"
x Chestnut Ave (1-4 Program),Jamaica Plain,2130.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"1 Chestnut Ave, Jamaica Plain, MA 02130, USA"
x Chestnut Hill Ave,Brighton,2135.0,21,21,0,18.0,18.0,0.0,3,3,0.0,Rental,Private,,,"332 Chestnut Hill Ave, Brighton, MA 02135, United States"
x Chipman St (RDP),Dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Chipman St, Boston, MA 02124, USA"
x Clarkson St,Dorchester,2125.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Clifton St,Dorchester,2125.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Public,,,"62 Clifton St, Dorchester, MA 02125, United States"
x Clifton St (RDP),Roxbury,2119.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
x Coffey St,Dorchester,2122.0,46,46,0,43.0,43.0,0.0,3,3,0.0,Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Coleman St (1-4 Program),Dorchester,2125.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"1 Coleman St, Boston, MA 02125, USA"
x Coleman St (REO),Dorchester,2125.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"Coleman St, Boston, MA 02125, USA"
x Coleman Street,Dorchester,2125.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Colonial Avenue E+,Dorchester,2124.0,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,"Colonial Ave, Boston, MA 02124, USA"
x Columbus Ave,Roxbury,2119.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"Boston, MA 02120, United States"
x Columbus Ave Conversion,South end,2116.0,62,0,62,54.0,0.0,54.0,8,0,8.0,Ownership,Private,,,"285 Columbus Ave, Boston, MA 02116, United States"
x Columbus Avenue,Roxbury,2119.0,165,165,0,0.0,0.0,0.0,165,165,0.0,Rental,Public,Y,,"Boston, MA 02120, United States"
x Commercial St,North End,2109.0,20,0,20,18.0,0.0,18.0,2,0,2.0,Ownership ,Private,,,"386 Commercial Street, Boston, MA 02109, United States"
x Commonwealth Ave,Brighton,2135.0,80,80,0,70.0,70.0,0.0,10,10,0.0,Rental,Private,,,"1949 Commonwealth Ave #7, Brighton, MA 02135, United States"
x Commonwealth Ave (Phase 2 - Dorm/Micro Conversion),Allston,2134.0,179,179,0,155.0,155.0,0.0,24,24,0.0,Rental,Private,,,"575 Commonwealth Ave, Boston, MA 02215, United States"
x Commonwealth Avenue,Allston,2134.0,61,61,0,1.0,1.0,0.0,60,60,0.0,Rental,Private,,,"1316 Commonwealth Ave, Allston, MA 02134, United States"
x Congress Street,South Boston Waterfront,2127.0,44,44,0,40.0,40.0,0.0,4,4,0.0,Rental,Private,,,"330 Congress St, Boston, MA 02210, United States"
x Corman Road Mattapan - COB,Mattapan,2126.0,2,1,1,1.0,0.0,1.0,1,0,1.0,Ownership,Private,,,"Corman Rd, Boston, MA 02126, USA"
x Cranston St,Jamaica Plain,2130.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"201 S Huntington Ave, Boston, MA 02130, United States"
x Crawford Street SRO,Roxbury,2121.0,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,,,"Crawford St, Boston, MA 02121, USA"
x Cummins Highway,Mattapan,2126.0,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,,,"627 Cummins Hwy, Mattapan, MA 02126, United States"
x D St,South Boston,2127.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"320 D St, Boston, MA 02127, United States"
x D Street,South Boston Waterfront,2127.0,197,197,0,171.0,171.0,0.0,26,26,0.0,Rental,Private,,,"320 D St, Boston, MA 02127, United States"
x Dacia Street,Roxbury,2125.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"16 Dacia St, Dorchester, MA 02125, United States"
x Dale Street Condominium,Roxbury,2119.0,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"72 Dale St, Boston, MA 02119, United States"
x Devon Street,Dorchester,2121.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Dorchester Av,Dorchester,2124.0,64,0,64,56.0,56.0,0.0,8,8,0.0,Rental,Private,,,"2235 Dorchester Ave, Boston, MA 02124, United States"
x Dorchester Ave,Dorchester,2125.0,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Dorchester Ave. (SPO),Dorchester,2122.0,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,,,"1420 Dorchester Ave, Dorchester, MA 02122, United States"
x Dorchester Avenue,South Boston,2127.0,33,0,33,29.0,0.0,29.0,4,0,4.0,Ownership,Private,,,"141 Dorchester Ave, Boston, MA 02127, United States"
x Dorchester St,South Boston,2127.0,35,35,0,29.0,29.0,0.0,6,6,0.0,Rental,Private,,,"39 Dorchester St, South Boston, MA 02127, United States"
x Dorchester St.,South Boston,2127.0,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"39 Dorchester St, South Boston, MA 02127, United States"
x Draper St (BuildHOME),Dorchester,2122.0,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,"Draper St, Boston, MA 02122, USA"
x Dudley St (REO),Dorchester,2125.0,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"778 Dudley St, Dorchester, MA 02125, United States"
x Dudley Street,Roxbury,2119.0,68,68,0,0.0,0.0,0.0,68,68,0.0,Rental,Private,,,"550 Dudley St, Roxbury, MA 02119, United States"
x Dunlap Street,Dorchester,2124.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Dunreath St (RDP),Roxbury,2119.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"Dunreath St, Boston, MA 02119, USA"
x E Eagle Street (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"370 E Eagle St, Boston, MA 02128, United States"
x E Fifth Street,South Boston,2127.0,19,0,19,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,,"330 Congress St, Boston, MA 02210, United States"
x E Second St,South Boston,2127.0,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,"850 Summer Street Suite 207, Boston, MA 02127, United States"
x E Third St,South Boston,2127.0,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,"444 E 3rd St, South Boston, MA 02127, United States"
x East Broadway,South Boston,2127.0,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,"726 E Broadway, Boston, MA 02127, United States"
x East Brookline,South End,2118.0,6,0,6,5.0,0.0,5.0,1,0,1.0,Ownership,Private,,,"Boston, MA 02120, United States"
x East First,South Boston,2127.0,28,0,28,24.0,0.0,24.0,4,0,4.0,Ownership,Private,,,"131 Seaport Blvd, Boston, MA 02210, United States"
x East Second,South Boston,2127.0,20,20,0,17.0,17.0,0.0,3,3,0.0,Rental,Private,,,"850 Summer Street Suite 207, Boston, MA 02127, United States"
x East Second Street,South Boston,2127.0,13,12,1,12.0,0.0,12.0,1,0,1.0,Ownership/Rental,Private,,,"516 E 2nd St, Boston, MA 02127, United States"
x East Springfield St,South End,2118.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,Y,"Boston, MA 02118, United States"
x East Third St,South Boston,2127.0,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,"444 E 3rd St, South Boston, MA 02127, United States"
x Elizabeth St,Mattapan,2126.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"1480 Blue Hill Avenue, Boston, MA 02126, United States"
x Ellington St,Dorchester,2121.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Cooperative,Private,,,"31 Erie St, Boston, MA 02121, United States"
x Elwyn Road (REO),Dorchester,2124.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Elwyn Rd, Boston, MA 02124, USA"
x Esmond Street,Dorchester,2121.0,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,"131 Dale St, Boston, MA 02119, United States"
x Eustis Street,Roxbury,2119.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"33 Shirley St, Boston, MA 02119, United States"
x Eutaw St (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Eutaw St, Boston, MA 02128, USA"
x Evans Street: Perry,Dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"37 Evans St, Dorchester, MA 02124, United States"
x Everett St,East Boston,2128.0,19,0,19,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,,"10 Everett St, Boston, MA 02128, United States"
x Fairland St (Lee VUP),Roxbury,2119.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"Fairland St, Boston, MA 02119, USA"
x Fairmount Ave,Hyde Park,2136.0,10,0,10,9.0,0.0,9.0,1,0,1.0,Ownership,Private,,,"150 Fairmount Ave, Hyde Park, MA 02136, United States"
x Falcon St (AOP),East Boston,2128.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"Falcon St, Boston, MA 02128, USA"
x Fisher Ave,Mission Hill,2120.0,15,15,0,13.0,13.0,0.0,2,2,0.0,Rental,Private,,,"120 Fisher Ave, Boston, MA 02120, United States"
x Fort Avenue,Roxbury,2119.0,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,"22-98 Fort Ave, Boston, MA 02119, United States"
x Fottler (REMS Land),Mattapan,2126.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Fottler Rd, Boston, MA 02126, USA"
x Gaston (RDP),Roxbury,2121.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,
x Gladstone St (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Gladstone St, Boston, MA 02128, USA"
x Glendon St (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Glendon St, Boston, MA 02128, USA"
x Glenway St,Dorchester,2121.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"90 Glenway St, Boston, MA 02121, United States"
x Glenway Street,Dorchester,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"90 Glenway St, Boston, MA 02121, United States"
x Glenway Street (1-4),Dorchester,2121.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"90 Glenway St, Boston, MA 02121, United States"
x Gordon Avenue,Hyde Park,2136.0,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"40 Gordon Ave, Hyde Park, MA 02136, United States"
x Green Street,Jamaica Plain,2130.0,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,,"150 Green St, Boston, MA 02130, United States"
x Greenbrier St (BuildHome),Dorchester,2124.0,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,"Greenbrier St, Boston, MA 02124, USA"
x Greenwich Park*,South End,2118.0,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"Greenwich Park, Boston, MA 02118, USA"
x H Street,South Boston,2127.0,11,0,11,10.0,0.0,10.0,1,0,1.0,Ownership,Private,,,"120 H St, Boston, MA 02127, United States"
x Hancock,Dorchester,2125.0,36,36,0,15.0,15.0,0.0,21,21,0.0,Rental,Private,,,"233 Hancock St, Dorchester, MA 02125, United States"
x Hanover St,North End,2113.0,16,16,0,15.0,15.0,0.0,1,1,0.0,Rental,Private,,,"332 Hanover St, Boston, MA 02113, United States"
x Harold Street,Roxbury,2119.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"208 Harold St, Boston, MA 02121, United States"
x Harrison Ave,South End,2118.0,585,585,0,527.0,527.0,0.0,58,58,0.0,Rental,Private,,,"345 Harrison Ave, Boston, MA 02118, United States"
x Harrison Ave Condos,South End,2118.0,39,0,39,36.0,0.0,36.0,3,0,3.0,Ownership,Private,,,"700 Harrison Ave, Boston, MA 02118, United States"
x Harrison Avenue,South End,2118.0,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership/Rental,Private,,,"345 Harrison Ave, Boston, MA 02118, United States"
x Harvard Street,Dorchester,2124.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"55 Harvard St, Boston, MA 02124, United States"
x Hawthorne Pl,West End,2114.0,480,0,480,479.0,0.0,479.0,1,0,1.0,Ownership/Rental,Private,,,"2 Hawthorne Pl, Boston, MA 02114, United States"
x Hawthorne Street,Roxbury,2119.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"9 Fulda St, Boston, MA 02119, United States"
x Hemenway,Fenway,2115.0,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,"768 Huntington Ave, Boston, MA 02115, United States"
x Hemenway Coop,Fenway,2115.0,24,24,0,11.0,11.0,0.0,13,13,0.0,Cooperative,Private,,,"Hemenway St, Boston, MA 02115, USA"
x Hendry St (REO),Dorchester,2122.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"Hendry St, Boston, MA 02122, USA"
x Hichborn St,Brighton,2135.0,23,0,23,20.0,0.0,20.0,3,3,0.0,Rental,Private,,,"26 Hichborn St, Brighton, MA 02135, United States"
x Highland St E+,Roxbury,2119.0,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,"Highland St, Boston, MA 02119, USA"
x Highland Street,Roxbury,2119.0,5,0,5,4.0,0.0,4.0,1,0,1.0,Ownership,Private,,,"1 Highland St, Roxbury, MA 02119, United States"
x Holborn Terrace,Roxbury,2121.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Hollander Street,Roxbury,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"55 Hollander St, Roxbury, MA 02119, United States"
x Homes Ave Development,Dorchester,2122.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Homes Ave, Boston, MA 02122, USA"
x Hosmer St (Lee VUP),Mattapan,2126.0,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"Hosmer St, Boston, MA 02126, USA"
x House (SPO),Dorchester,2122.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,
x Howard Ave,Roxbury,2125.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"185 Howard Ave, Dorchester, MA 02125, United States"
x Huckins St,Roxbury,2119.0,4,4,0,0.0,0.0,0.0,4,4,0.0,Cooperative,Private,,,"72 Dale St, Boston, MA 02119, United States"
x Hudson St (AOP),Chinatown,2111.0,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"66 Hudson St, Boston, MA 02111, United States"
x Humboldt Avenue,Roxbury,2121.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"198 Humboldt Ave, Dorchester, MA 02121, United States"
x Humboldt Avenue-202,Roxbury,2121.0,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,?,,"202 Humboldt Ave, Boston, MA 02121, United States"
x Humphreys Place (AOP),Dorchester,2125.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"Humphreys Pl, Boston, MA 02125, USA"
x Huntington Avenue,Mission Hill,2120.0,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,,,"201 S Huntington Ave, Boston, MA 02130, United States"
x Hutchings Street,Roxbury,2121.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"17 Blakeville St, Dorchester, MA 02121, United States"
x Hyde Park Ave,Roslindale,2131.0,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,,"1074 Hyde Park Ave, Hyde Park, MA 02136, United States"
x Hyde Park Avenue,Roslindale,2136.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"1074 Hyde Park Ave, Hyde Park, MA 02136, United States"
x Intervale St (RDP),Roxbury,2121.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Intervale St, Boston, MA 02121, USA"
x Itasca Street,Mattapan,2126.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,
x Juniper Street,Roxbury,2119.0,4,3,1,1.0,1.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"72 Dale St, Boston, MA 02119, United States"
x Kingsdale St,Dorchester,2124.0,3,1,2,1.0,0.0,1.0,2,1,1.0,Ownership/Rental,Private,,,"71 Kingsdale St, Dorchester Center, MA 02124, United States"
x L Street,South Boston,2127.0,30,30,0,26.0,26.0,0.0,4,4,0.0,Rental,Private,,,"77 L St, Boston, MA 02127, United States"
x Landor Road,Mattapan,2126.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,
x Lawnwood Place Project,Charlestown,2129.0,9,0,9,5.0,0.0,5.0,4,0,4.0,Ownership,Private,,,"One Boston Place, #2600, Boston, MA 02108, United States"
x Lawrence Avenue,Dorchester,2121.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Leighton Rd Foreclosed Home Sale,Hyde Park,2136.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Leighton Rd, Boston, MA 02136, USA"
x Leroy St (AOP),Dorchester,2122.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Leroy St, Boston, MA 02122, USA"
x Levant St,Dorchester,2122.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"422 Geneva Ave, Boston, MA 02122, United States"
x Lexington Ave (AOP),Hyde Park,2136.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"599 Lexington Ave, New York, NY 10022, United States"
x Lexington St (1-4 Program),East Boston,2128.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"1 Lexington St, Boston, MA 02128, USA"
x Lexington/92-94 Putnam (1-4),East Boston,2128.0,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,
x Leyden St (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Leyden St, Boston, MA 02128, USA"
x Lorne Street,Dorchester,2124.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"1 Lorne St, Boston, MA 02124, United States"
x Magnolia St,Dorchester,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"206 Magnolia St, Boston, MA 02121, United States"
x Magnolia St (RDP),Dorchester,2125.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Magnolia St, Boston, MA 02125, USA"
x Mallon Road,Dorchester,2121.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Malvern St,Allston,2134.0,48,48,0,42.0,42.0,0.0,6,6,0.0,Rental,Private,,,"40 Malvern St, Boston, MA 02134, United States"
x Manor St (RDP),Dorchester,2122.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Manor St, Boston, MA 02122, USA"
x Marion Place,East Boston,2128.0,1,0,1,0.0,0.0,0.0,1,1,0.0,Ownership,Private,,,"127 Marion St, Boston, MA 02128, United States"
x Marion St,East Boston,2128.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"127 Marion St, Boston, MA 02128, United States"
x Market St,Brighton,2135.0,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,,"207 Market St, Brighton, MA 02135, United States"
x Market Street,Brighton,2135.0,39,39,0,34.0,34.0,0.0,5,5,0.0,Rental,Private,,,"207 Market St, Brighton, MA 02135, United States"
x Mass. Ave. (BCLT),Roxbury,2118.0,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,"811 Massachusetts Ave, Boston, MA 02118, United States"
x Massachusetts Ave,Dorchester,2125.0,40,40,0,35.0,35.0,0.0,5,5,0.0,Rental,Private,,,"1258 Massachusetts Ave, Dorchester, MA 02125, United States"
x Massachusetts Avenue,South End,2118.0,10,0,10,8.0,0.0,8.0,2,0,2.0,Ownership,Private,,,"666 Massachusetts Ave, Boston, MA 02118, United States"
x Maverick St,East Boston,2128.0,37,0,37,32.0,0.0,32.0,5,0,5.0,Ownership,Private,,,"Maverick St, Boston, MA 02128, USA"
x Maverick St (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Maverick St, Boston, MA 02128, USA"
x Maywood Street,Roxbury,2119.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"131 Dale St, Boston, MA 02119, United States"
x McBride St,Jamaica Plain,2130.0,11,11,0,10.0,10.0,0.0,1,1,0.0,Rental,Private,,,"141 McBride St, Jamaica Plain, MA 02130, United States"
x Medford St,Charlestown,2129.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"305 Medford St, Boston, MA 02129, United States"
x Metropolitan Ave,Hyde Park,2136.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"Metropolitan Ave, Boston, MA 02136, USA"
x Milton Street,Dorchester,2124.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"637 Washington St, Boston, MA 02124, United States"
x Minden St,Jamaica Plain,2130.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"91 Minden St, Jamaica Plain, MA 02130, United States"
x Minden Street,Jamaica Plain,2130.0,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"91 Minden St, Jamaica Plain, MA 02130, United States"
x Miner Street,Fenway,2215.0,49,49,0,43.0,43.0,0.0,6,6,0.0,Rental,Private,,,"9 Miner St, Boston, MA 02215, United States"
x Monsignor Way,Dorchester,2124.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"Msgr Patrick J Lydon Way, Boston, MA 02124, USA"
x Morris Street (AOP),East Boston,2128.0,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"Morris St, Boston, MA 02128, USA"
x Morse Street,Dorchester,2121.0,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"647 Warren St #25, Dorchester, MA 02121, United States"
x Mount Everett NHI,Dorchester,2125.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,
x Mountfort St,Fenway,2215.0,37,37,0,33.0,33.0,0.0,4,4,0.0,Rental,Private,,,"120 Mountfort St, Boston, MA 02215, United States"
x Mt. Pleasant Ave SRO,Roxbury,2119.0,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,"28 Mt Pleasant Ave, Boston, MA 02119, United States"
x Mt. Pleasant Avenue,Roxbury,2119.0,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"28 Mt Pleasant Ave, Boston, MA 02119, United States"
x Murray Ave,Roxbury,2119.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"must call for appointment, 39 Smith St, Boston, MA 02120, United States"
x Murray Ave (1-4),Roxbury,2119.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"4 Murray Ave #1, Boston, MA 02119, USA"
x N Beacon,Allston,2134.0,30,30,0,26.0,26.0,0.0,4,4,0.0,Rental,Private,,,"15 N Beacon St, Allston, MA 02134, United States"
x N Beacon St (Condo Phase),Brighton,2135.0,9,0,9,8.0,0.0,8.0,1,0,1.0,Ownership,Private,,,"15 N Beacon St, Boston, MA 02134, United States"
x N Beacon St (Rental Phase),Allston,2134.0,72,72,0,63.0,63.0,0.0,9,9,0.0,Rental,Private,,,"15 N Beacon St, Allston, MA 02134, United States"
x N Beacon St Mixed Use Development,Allston,2134.0,20,20,0,17.0,17.0,0.0,3,3,0.0,Rental,Private,,,"N Beacon St, Boston, MA 02134, USA"
x Nelson Street,Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"43 Freeport St, Boston, MA 02122, United States"
x Neponset Ave,Dorchester,2122.0,22,22,0,19.0,19.0,0.0,3,3,0.0,Rental,Private,,,"320 Neponset Ave, Dorchester, MA 02122, United States"
x Newbury - Virgin Records,Back Bay,2115.0,54,0,54,49.0,0.0,49.0,5,0,5.0,Ownership,Private,,,"Newbury St, Boston, MA 02115, USA"
x Nightingale Street,Dorchester,2124.0,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,"101 Nightingale St, Boston, MA 02124, United States"
x Norfolk Street (RDP),Dorchester,2124.0,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"Norfolk St, DORCHESTR CTR, MA 02124, USA"
x North Ave/YouthBuild,Roxbury,2119.0,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"27 Centre St, Boston, MA 02119, United States"
x Northampton Apts,Roxbury,2118.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"35 Northampton St, Boston, MA 02118, United States"
x Norwell St - YouthBuild,Dorchester,2121.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,
x Norwell Street (REO/Private Acquisition),Dorchester,2121.0,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,"Norwell St, Boston, MA 02121, USA"
x Oak Street (AOP),Chinatown,2111.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"Oak St, Boston, MA 02111, USA"
x Old Colony,South Boston,2127.0,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership,Private,,,"200 Old Colony Ave, Boston, MA 02127, United States"
x Old Colony Ave,South Boston,2127.0,49,49,0,41.0,41.0,0.0,8,8,0.0,Rental,Private,,,"232 Old Colony Ave, Boston, MA 02127, United States"
x Orleans Street,East Boston,2128.0,14,0,14,12.0,0.0,12.0,2,0,2.0,Ownership,Private,,,"150 Orleans St, Boston, MA 02128, United States"
